code,name,year,column,points,option,number,prerequisits,equivalents
GRAP1041,Design in Society,1,1,12,1,1,,
GRAP1052,Design Prototyping,1,2,12,1,1,,
GRAP1049,ID Drawing,1,3,12,1,1,,
GRAP1031,User Centred Design Studio,1,4,12,1,1,,
GRAP1032,Design for Sustainability,1,5,12,1,1,,
GRAP1050,Computer Aided Industrial Design,1,6,12,1,1,,
GRAP1051,Industrial Design Engineering,1,7,12,1,1,,
GRAP1042,Industrial Design Ecologies,1,8,12,1,1,,
,Program Elective,2,1,12,1,1,,
GRAP1043,Industrial Design Tactics,2,2,12,1,1,GRAP1041||GRAP1052||GRAP1049||GRAP1031||GRAP1032||GRAP1050||GRAP1051||GRAP1042,
GRAP1033,Design Studio: Materiality,2,3,24,1,1,GRAP1031 GRAP1032,
GRAP1034,Design Studio: Speculative,2,5,24,1,1,GRAP1031 GRAP1032,
ARCH1479,Interactive Systems Design,2,7,12,1,1,GRAP1041||GRAP1052||GRAP1049||GRAP1031||GRAP1032||GRAP1050||GRAP1051||GRAP1042,
,Univeristy or Program Elective,2,8,12,1,1,,
,Program Elective,3,1,12,1,1,,
GRAP1045,Contemporary Industrial Design Enterprise,3,2,12,1,1,GRAP1041||GRAP1052||GRAP1049||GRAP1031||GRAP1032||GRAP1050||GRAP1051||GRAP1042,
GRAP1035,Design Studio: Social,3,3,24,1,1,GRAP1031 GRAP1032,
GRAP2221,Design Studio: Digital,3,5,24,1,1,GRAP1031 GRAP1032,
GRAP2225,Methods in Design Research and Practice,3,7,12,1,1,GRAP1033||GRAP1034||GRAP1035||GRAP2221,
,Univeristy or Program Elective,3,8,12,1,1,,
,Program Elective,4,1,12,1,1,,
GRAP2923,Professional Ethics and Design Strategy,4,2,12,1,1,GRAP1033||GRAP1034||GRAP1035||GRAP2221,
GRAP2935,Industrial Design Honours Project Part 1,4,3,24,1,1,GRAP2225 GRAP2221 GRAP1035 GRAP1034 GRAP1033,
GRAP2930,Industrial Design Honours Project Part 2,4,5,24,1,1,GRAP2935,
GRAP2939,Industrial Design Honours Reflection and Exposition,4,7,12,1,1,GRAP2225 GRAP2221 GRAP1035 GRAP1034 GRAP1033,
,Univeristy or Program Elective,4,8,12,1,1,,
